order_id,order_date,customer_id,customer_name,customer_age,city,state,zone,category,product,sku,quantity,unit_price,gross_sales,coupon_code,discount_amount,gst_rate,net_sales,gst_amount,payment_mode,order_status,sales_channel,sales_employee,delivery_partner,delivery_days,customer_rating,cogs,profit,profit_margin_pct,shipping_charges,invoice_amount
IN240100756,01-Jan-2024,CUST48965,Aditya Jadhav,30,Ranchi,Jharkhand,East,Sports & Fitness,Fitness Band,SPO-FIT986,3,5099,15297,APPONLY,1223.76,0.12,14073.24,1688.79,UPI,Delivered,Website,Amit Sharma,India Post,2,5,11070.19,3003.05,0.2134,90.00,15852.03
IN240101726,01-Jan-2024,CUST91430,Rajesh Kapoor,39,Ranchi,Jharkhand,East,Home & Kitchen,Cookware Set,HOM-COO989,1,1499,1499,MEGADEAL,269.82,0.18,1229.18,221.25,Credit Card,Delivered,Website,Pooja Reddy,Shadowfax,2,5,1038.98,190.20,0.1547,66.00,1516.43
IN240102049,01-Jan-2024,CUST77000,Tanvi Kumar,46,Kochi,Kerala,South,Mobiles & Accessories,Tempered Glass,MOB-TEM705,1,493,493,No Coupon,0.00,0.12,493.00,59.16,Credit Card,Delivered,Mobile App,Tanvi Jadhav,Ecom Express,4,1,404.30,88.70,0.1799,150.00,702.16
IN240100349,03-Jan-2024,CUST88263,Myra Gupta,31,Lucknow,Uttar Pradesh,North,Books & Stationery,Kids Story Book,BOO-KID264,1,204,204,No Coupon,0.00,0.18,204.00,36.72,UPI,Delivered,Website,Swati Mishra,DTDC,5,4,148.35,55.65,0.2728,127.00,367.72
IN240100729,03-Jan-2024,CUST65879,Rutuja Kumar,58,Thiruvananthapuram,Kerala,South,Fashion,Women Kurti,FAS-WOM688,3,2799,8397,APPONLY,671.76,0.18,7725.24,1390.54,Wallet,Returned,Website,Amit Sharma,DTDC,2,2,6410.06,1315.18,0.1702,167.00,9282.78
IN240100914,03-Jan-2024,CUST77624,Aadhya Kadam,54,Ranchi,Jharkhand,East,Mobiles & Accessories,Smart Watch,MOB-SMA163,1,11599,11599,No Coupon,0.00,0.18,11599.00,2087.82,Credit Card,Delivered,Marketplace,Rohan Mehta,India Post,2,2,9069.50,2529.50,0.2181,64.00,13750.82
IN240100976,03-Jan-2024,CUST26055,Myra Kadam,33,Nashik,Maharashtra,West,Home & Kitchen,Mixer Grinder,HOM-MIX650,1,6999,6999,No Coupon,0.00,0.18,6999.00,1259.82,UPI,Shipped,Marketplace,Rahul Verma,Xpressbees,2,,5050.97,1948.03,0.2783,154.00,8412.82
IN240102055,03-Jan-2024,CUST68265,Karan Rathod,21,Ahmedabad,Gujarat,West,Fashion,Jeans,FAS-JEA854,1,1999,1999,No Coupon,0.00,0.18,1999.00,359.82,Credit Card,Shipped,Mobile App,Sagar Pawar,DTDC,4,,1512.57,486.43,0.2433,167.00,2525.82
IN240100133,04-Jan-2024,CUST80279,Deepak Yadav,24,Bengaluru,Karnataka,South,Sports & Fitness,Cricket Bat,SPO-CRI515,1,1099,1099,PAYDAY15,164.85,0.18,934.15,168.15,Debit Card,Delivered,Website,Vikram Singh,Blue Dart,5,2,715.39,218.76,0.2342,109.00,1211.30
IN240101421,04-Jan-2024,CUST57417,Mansi Shinde,43,Kolkata,West Bengal,East,Fashion,Handbag,FAS-HAN582,5,4399,21995,No Coupon,0.00,0.12,21995.00,2639.40,COD,Cancelled,Website,Deepak Yadav,Delhivery,2,,14530.15,7464.85,0.3394,0.00,24634.40
IN240101631,04-Jan-2024,CUST60244,Shruti Tiwari,20,Bhopal,Madhya Pradesh,Central,Home & Kitchen,Air Fryer,HOM-AIR918,2,3899,7798,FREESHIP,0.00,0.18,7798.00,1403.64,Credit Card,Returned,Mobile App,Manish Iyer,DTDC,7,5,5060.17,2737.83,0.3511,96.00,9297.64
IN240101751,04-Jan-2024,CUST50392,Prachi Pillai,29,Coimbatore,Tamil Nadu,South,Electronics,LED TV,ELE-LED840,1,53399,53399,No Coupon,0.00,0.12,53399.00,6407.88,UPI,Delivered,Mobile App,Rohan Mehta,Shadowfax,3,5,43027.60,10371.40,0.1942,66.00,59872.88
IN240101799,04-Jan-2024,CUST51151,Kabir Sharma,51,Kochi,Kerala,South,Fashion,Handbag,FAS-HAN982,1,4099,4099,PAYDAY15,614.85,0.18,3484.15,627.15,UPI,Delivered,Mobile App,Sneha Kulkarni,India Post,2,5,2497.96,986.19,0.2831,145.00,4256.30
IN240101836,04-Jan-2024,CUST31820,Meera Pawar,19,Kolkata,West Bengal,East,Electronics,Wireless Mouse,ELE-WIR740,3,1899,5697,No Coupon,0.00,0.12,5697.00,683.64,UPI,Delivered,Website,Sagar Pawar,DTDC,3,5,4644.70,1052.30,0.1847,69.00,6449.64
IN240102253,04-Jan-2024,CUST19897,Ishaan Deshmukh,54,Kolkata,West Bengal,East,Sports & Fitness,Yoga Mat,SPO-YOG494,2,719,1438,No Coupon,0.00,0.12,1438.00,172.56,UPI,Returned,Website,Kavya Deshmukh,Shadowfax,5,5,1008.72,429.28,0.2985,134.00,1744.56
